,,,,,,,,,,,,,,,,,,0,0,0,3,3,6,6,8,8,8,8,8,8,8
,,,,,,,,,,,,,,,,,,RECEIVER,RECEIVER,RECEIVER,ALTITUDE SENSOR,ALTITUDE SENSOR,VOLTAGE SENSOR,VOLTAGE SENSOR,GPS,GPS,GPS,GPS,GPS,GPS,GPS
TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,name,BATTERY,EXTERNAL BATTERY,STATUS,ALTITUDE,VARIOMETER,BATTERY,EXT. BATT.,DISTANCE,SPEED,ALTITUDE,VARIOMETER,LATITUDE,LONGITUDE,TIME(UTC)
0,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,---,3,---,---,---,---,---,---,---,---,---,---,---
2027,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,---,3,---,---,---,---,---,---,---,---,---,---,---
4055,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,---,3,---,---,---,---,---,---,---,---,---,---,---
6081,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,---,3,---,---,---,---,---,---,---,---,---,---,---
8109,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,---,3,---,---,---,---,---,---,---,---,---,---,---
10139,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,name test,7.5,---,3,---,---,---,---,0,0,0,-0.1,S 28:39.0141,E151:56.1186,9:45:00
12163,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,---,3,---,---,---,---,0,0,-0.2,0,S 28:39.0141,E151:56.1192,9:45:03
14190,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,---,3,---,---,---,---,1,0,-0.4,0,S 28:39.0141,E151:56.1195,9:45:05
16216,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,---,3,---,---,---,---,1,0,-0.5,-0.1,S 28:39.0134,E151:56.1194,9:45:07
18243,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,---,3,---,---,---,---,2,0,-0.6,-0.1,S 28:39.0128,E151:56.1190,9:45:08
20270,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,---,3,---,---,---,---,2,0,-0.8,-0.1,S 28:39.0126,E151:56.1183,9:45:10
22296,0,0,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,3,0,-1,-0.1,S 28:39.0127,E151:56.1172,9:45:12
24324,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,4,0,-1.2,-0.1,S 28:39.0133,E151:56.1158,9:45:14
26350,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,5,0,-1.4,-0.1,S 28:39.0140,E151:56.1151,9:45:16
28376,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,6,0,-1.4,0,S 28:39.0148,E151:56.1147,9:45:18
30402,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,7,0,-1.4,0,S 28:39.0157,E151:56.1143,9:45:20
32429,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,8,0,-1.5,-0.1,S 28:39.0165,E151:56.1140,9:45:22
34452,0,0,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,9,0,-1.5,0,S 28:39.0172,E151:56.1137,9:45:24
36478,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,11,0,-1.7,0,S 28:39.0181,E151:56.1135,9:45:26
38505,0,0,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,11,0,-1.7,0,S 28:39.0185,E151:56.1134,9:45:27
40531,0,0,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,13,0,-1.9,-0.1,S 28:39.0197,E151:56.1131,9:45:30
42557,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,15,0,-1.9,0,S 28:39.0205,E151:56.1129,9:45:32
44583,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,fence,7.5,0,3,---,---,---,---,15,0,-2,0.1,S 28:39.0204,E151:56.1128,9:45:34
46610,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,13,4,-2.1,-0.1,S 28:39.0195,E151:56.1129,9:45:36
48636,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,12,0,-2.1,0,S 28:39.0185,E151:56.1130,9:45:38
50664,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,10,4,-2.1,0,S 28:39.0175,E151:56.1134,9:45:40
52690,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,8,0,-2.1,0,S 28:39.0166,E151:56.1143,9:45:42
54715,0,0,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,6,4,-2.1,0.1,S 28:39.0160,E151:56.1154,9:45:44
56738,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,4,4,-2.3,0,S 28:39.0155,E151:56.1170,9:45:47
58766,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,3,0,-2.2,0,S 28:39.0151,E151:56.1180,9:45:49
60792,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,3,---,---,---,---,3,0,-2.2,0,S 28:39.0151,E151:56.1180,9:45:49
62817,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,0,---,---,---,---,3,0,-2.2,0,S 28:39.0151,E151:56.1180,9:45:49
64845,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.5,0,0,---,---,---,---,3,0,-2.2,0,S 28:39.0151,E151:56.1180,9:45:49
